Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
拉丁美洲与加勒比海地区（不包括高收入）,10019872.696441099,9974236.083255598,9928600.452399602,9882963.930623097,9837328.110811701,9791691.5866362,9746055.271262098,9700419.598050602,9654782.901694098,9609146.9256899,9563510.813752599,9515361.002419304,9467211.163051099,9419061.6484661,9370911.799278699,9322762.0965227,9286486.918216998,9250211.5866526,9213936.6108179,9177661.279411701,9141386.199011002,9116502.2943728,9091618.5448441,9066734.976662299,9041851.236504,9016967.382220402,8992083.5752826
欧洲与中亚地区（不包括高收入）,8684327.999878,8685882.496336,8687968.656007,8689787.094115,8691604.935303,8693423.374022,8695241.81518,8697060.282029001,8698878.093207,8700696.559446001,8702515.000614,8703876.918278,8705238.848261999,8706600.152585002,8707962.082570001,8709324.000243999,8724495.440402001,8739666.908864,8754838.340156,8770009.809229,8785181.248778,8787203.029781003,8789225.414678,8791247.83178,8793269.593517998,8795291.998280002,8797314.405502003
撒哈拉以南非洲地区（不包括高收入）,6515208.4999847,6483260.118436499,6450552.845816403,6565002.852188098,6531221.196230001,6497439.199981701,6463657.2071733,6429875.548004602,6396093.552032098,6362311.891423201,6328529.899978699,6297991.412354301,6267453.109043799,6236914.690944,6206376.3886335995,6175837.899970999,6143322.4349932,6110807.127757099,6078291.672203502,6045776.366045699,6013260.899963399,6257189.823464201,6228728.809840101,6200267.6823293,6171806.574803101,6143345.394484701,6114884.2153044
东亚与太平洋地区（不包括高收入）,4570859.3421341,4567552.0287225,4564252.560926399,4560953.040666501,4557653.5304559,4554353.961033901,4551054.4693929,4547754.8032824,4544455.272272401,4541155.871882101,4537856.302322101,4560126.1224209,4582395.898858502,4604665.7760505,4626935.562226301,4649205.372506,4661403.5585838,4673601.454638799,4685799.537433402,4697997.770011301,4710195.8767069,4715669.395125301,4721142.7453426,4726616.255500501,4732089.650259401,4737563.068695201,4743036.4871980995
南亚,789187.09961,789291.4123300001,789395.69582,789500.00486,789604.2859199999,789708.60107,789812.9137900001,789917.19485,790021.40379,790125.68484,790230.0,793837.26689,797444.61544,801051.88602,804659.23224,808266.49902,812041.83232,815816.98489,819592.31443,823367.56963,827142.90039,828504.18337,829865.4688,831226.8311000001,832588.11644,833949.29932,835310.4846399999
中东与北非地区（不包括高收入）,185692.39569829,186175.99432628998,186659.60273429,187143.20625229,187626.80489029002,188110.40351829,188594.00214628997,189077.60077429,189561.20429229,190044.80293029002,190528.40155829,194246.20036656002,197964.10677550998,201681.79952259,205399.69615153997,209117.50469981,210640.30689251,212163.10421631,213685.90527531,215208.70259811,216731.50463881,216836.30452151003,216941.10439531,217045.90497431,217150.70545711,217255.50473081,217360.30400351
