Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326
Afghanistan,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648
Angola,48.90992219,48.80981729,48.70971239,48.60961062,48.50950572,48.40940082,48.30929592,48.20919101,48.10908925,48.00898434,47.90887944,47.80877454,47.70866964,47.60856787,47.50846297,47.40835807,47.30825316,47.20814826,47.10804649,47.00794159,46.90783669,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041
Albania,28.78832072,28.71715239,28.64598629,28.57481796,28.50364964,28.43248131,28.36131298,28.29014688,28.21897855,28.14781022,28.07664189,28.17226215,28.26788241,28.36350267,28.45912516,28.55474542,28.51021871,28.46569423,28.42116753,28.37664305,28.33211634,28.29708127,28.26204397,28.22700668,28.191971600000002,28.15693431,28.12189701
Andorra,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Arab World,1.732633546,1.7275736259999999,1.72251157,1.717451703,1.7123927230000002,1.707332812,1.7022737909999999,1.697213921,1.692154943,1.6870959630000002,1.682036052,1.683075647,1.6841143109999999,1.6851799630000002,1.686220144,1.687258255,1.6935766540000001,1.699901841,1.70622771,1.71293858,1.7192695,1.713112687,1.706957034,1.700830065,1.694674616,1.688517408,1.6823612559999999
United Arab Emirates,3.44973247,3.5412559839999997,3.6327794989999997,3.724303013,3.815826528,3.907350042,3.998873557,4.090397071,4.181920586,4.2734441,4.364967615,4.370599745,4.376231875,4.381864435,4.387496566,4.393128696000001,4.408054035,4.422979374,4.437904712,4.452830051,4.46775539,4.482680729,4.497606497,4.512531836,4.527457175,4.542382513,4.557307852
Argentina,12.7135335,12.60635995,12.4991864,12.39201428,12.28484073,12.17766718,12.07049363,11.963320800000002,11.85614725,11.74897441,11.64180086,11.51946301,11.39712587,11.27478801,11.15245087,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405817999999
Armenia,11.76677204,11.75272216,11.75272238,11.74569701,11.73867272,11.73164735,11.72462198,11.71759769,11.71057232,11.70354802,11.69652266,11.68949729,11.68247299,11.67544763,11.66842333,11.66139796,11.6543726,11.6473483,11.64032293,11.63329864,11.62627327,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333
American Samoa,91.94999695,91.75000191,91.59999847,91.45000458,91.25,91.09999657,90.95000267,90.74999809,90.6000042,90.39999962,90.24999619,90.10000229,89.89999771,89.75000381,89.54999924,89.3999958,89.25000191,89.04999733,88.90000343,88.75,88.54999542,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5
Antigua and Barbuda,23.40909134,23.34091013,23.27272675,23.20454554,23.13636433,23.06818095,22.99999974,22.93181853,22.86363732,22.79545394,22.72727273,22.63636372,22.54545472,22.45454571,22.36363671,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771
Australia,16.73209846,16.73600354,16.73990862,16.7438137,16.74771878,16.75162386,16.75552894,16.75943402,16.7633391,16.76724418,16.77114927,16.73990862,16.70866798,16.67742733,16.64618669,16.61494604,16.499616,16.38428596,16.26895591,16.15362587,16.03829582,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,16.25827806
Austria,45.72535723,45.80043535,45.87551347,45.95059455,46.02567267,46.10075079,46.17582891,46.25090703,46.3259881,46.40106622,46.47614434,46.50763015,46.539113,46.57059879999999,46.60208165,46.63356745,46.65536509,46.67829433,46.70008953,46.7218877,46.74764969,46.77511454,46.80088082,46.83573548,46.86208745,46.88390014,46.90571284
Azerbaijan,10.23829266,10.2839564,10.28395602,10.30798957,10.33202312,10.35605667,10.38009022,10.40412377,10.44384498,10.51689726,10.55384042,10.56704232,10.57832485,10.58703912,10.59754178,10.61214629,10.93239059,11.25077117,11.56837308,11.88642243,12.19875188,12.515667500000001,12.83287783,13.14992813,13.46648537,13.78367651,14.09967334
Burundi,11.25389408,10.89953247,10.54517086,10.19081044,9.836448836,9.482087227000001,9.127725619,8.773364605,8.419002996,8.064641982000001,7.710280374,7.577881858,7.445482747000001,7.313084231,7.180685121000001,7.048286603999999,7.60903403,8.16978205,8.730529476000001,9.291277496000001,9.852024922,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151
Belgium,,,,,,,,,,,22.03764821,22.08322301,22.12879781,22.1743726,22.2199474,22.2655222,22.31175613,22.35799207,22.40422802,22.45046195,22.49669789,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464
