Income_Group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
中高等收入国家,20451456.1302417,20432773.895439904,20413760.205201104,20394913.6423932,20376067.388545796,20357220.8332477,20338374.645210102,20319529.007612705,20300681.6514847,20281835.856693394,20262989.716083698,20249844.188480806,20236698.612663604,20223552.768751197,20210407.1837459,20197261.7646893,20200172.640776996,20203083.0254795,20205994.105862103,20208904.8468592,20211815.721681498,20209062.3192616,20206309.6002835,20203557.171777707,20200803.783630803,20198050.955328703,20195298.1744104
高收入国家,9968629.102281835,9977649.886313569,9987192.8863005,9996497.121098895,10005787.114693133,10015077.196691515,10024367.083814312,10033657.282927765,10042947.317877835,10052237.50491681,10061527.493989196,10065287.806016948,10069047.78107466,10072808.014597716,10076568.106352668,10080328.299372798,10084115.38391096,10087902.539812032,10091690.072047092,10095477.206631945,10099264.292403614,10110588.379543716,10121912.540241413,10133236.163214717,10144560.225539045,10155884.392046344,10167198.57858005
中低等收入国家,6538841.90350449,6496915.70267099,6455857.561668589,6414365.535145791,6372873.40558309,6331381.29301439,6289889.102216491,6248396.97039119,6206904.824790191,6165412.81522109,6123920.70214199,6107836.797198261,6091753.109503311,6075669.20410099,6059585.513404239,6043501.60827421,6023787.892081511,6004074.11104431,5984360.304949012,5964646.60761661,5944932.907806612,6120018.753833211,6094284.458879311,6068550.339306011,6042816.04973831,6017081.692402411,5991347.3401327105
低收入国家,3774850.0,3756708.5352960005,3737812.0468339995,3866070.951166,3846098.0694819996,3826125.0,3806151.9315180006,3786179.048987,3766205.951013,3746233.0642969995,3726260.0,3707757.9370500003,3689256.0192639995,3670753.9807360005,3652252.06395,3633750.0,3614429.9585500006,3595110.030494999,3575789.969505001,3556470.04245,3537150.0,3592823.95754,3576928.0287373,3561031.9712627,3545136.0436125,3529240.0,3513343.9573875
